"date","square"
08 февраля 2024, 119155.95
25 января 2024, 118508.05
11 января 2024, 117919.38
28 декабря 2023, 117076.65
14 декабря 2023, 114318.55
30 ноября 2023, 109656.38
16 ноября 2023, 109783.33
02 ноября 2023, 109509.38
19 октября 2023, 106662.78
05 октября 2023, 104106.4
21 сентября 2023, 103559.28
07 сентября 2023, 102155.68
24 августа 2023, 100848.4
11 августа 2023, 100920.65
27 июля 2023, 99970.35
13 июля 2023, 99989.23
29 июня 2023, 98979.25
15 июня 2023, 99282.95
01 июня 2023, 100235.9
18 мая 2023, 98368.35
04 мая 2023, 97383.3
20 апреля 2023, 98747.4
06 апреля 2023, 100212.97
23 марта 2023, 94409.4
03 марта 2023, 96979.34
17 февраля 2023, 96802.36
06 февраля 2023, 97202.33
18 января 2023, 95216.2
30 декабря 2022, 95981.7
15 декабря 2022, 95229.7
02 декабря 2022, 97561.83
17 ноября 2022, 96384.17
03 ноября 2022, 96372.14
20 октября 2022, 96286.64
10 октября 2022, 96300.39
23 сентября 2022, 96701.93
09 сентября 2022, 92212.64
25 августа 2022, 92319.64
17 августа 2022, 92784.99
21 июля 2022, 91834.68
30 июня 2022, 91529
17 июня 2022, 89403.94
06 июня 2022, 89644.8
20 мая 2022, 88035.32
06 мая 2022, 85456.01
21 апреля 2022, 84126.87
11 апреля 2022, 83744.78
29 марта 2022, 85778.22
24 марта 2022, 86407.46
10 марта 2022, 86210.62
24 февраля 2022, 85678.53
11 февраля 2022, 84482.94
28 января 2022, 82845.52
14 января 2022, 83850.32
30 декабря 2021, 83954.66
19 декабря 2021, 83913.78
03 декабря 2021, 81936.55
19 ноября 2021, 84233.54
06 ноября 2021, 84216.13
22 октября 2021, 81703.52
08 октября 2021, 75771.35
26 сентября 2021, 79205.45
10 сентября 2021, 79283.96
28 августа 2021, 75840.46
12 августа 2021, 74725.94
31 июля 2021, 74785.29
16 июля 2021, 77909.51
02 июля 2021, 78215.15
18 июня 2021, 78249.28
04 июня 2021, 79122.05
21 мая 2021, 77240.3
09 мая 2021, 77772.86
25 апреля 2021, 78325.18
09 апреля 2021, 79047.1
26 марта 2021, 81578.01
05 марта 2021, 79327.47
04 марта 2021, 80429.27
20 февраля 2021, 79396.25
05 февраля 2021, 79338.21
30 января 2021, 77576.1
15 января 2021, 77455.85
31 декабря 2020, 75593.75
18 декабря 2020, 75655.85
04 декабря 2020, 67637.85
20 ноября 2020, 70662.7
06 ноября 2020, 69518.63
23 октября 2020, 68088.03
09 октября 2020, 68599.5
24 сентября 2020, 70699.53
11 сентября 2020, 70235.27
28 августа 2020, 71545.2
13 августа 2020, 72747.37
31 июля 2020, 68802.65
17 июля 2020, 70142.83
03 июля 2020, 69429.87
19 июня 2020, 69266.78
05 июня 2020, 69191.3
22 мая 2020, 71324.4
21 мая 2020, 66721.16
08 мая 2020, 67040.1
23 апреля 2020, 66752.2
10 апреля 2020, 69091.73
26 марта 2020, 67497.55
06 марта 2020, 65750.13
20 февраля 2020, 65176.1
06 февраля 2020, 69296.9
23 января 2020, 69106.7
09 января 2020, 67930.53
26 декабря 2019, 67915.77
28 ноября 2019, 67658.93
15 ноября 2019, 67480.73
31 октября 2019, 66212.77
17 октября 2019, 66041.5
03 октября 2019, 65642.5
19 сентября 2019, 54454.93
05 сентября 2019, 51273.53
22 августа 2019, 65721.77
08 августа 2019, 65544.97
25 июля 2019, 65511.13
11 июля 2019, 65727.23
27 июня 2019, 65054.47
13 июня 2019, 65964.47
30 мая 2019, 67255.17
16 мая 2019, 67405.8
02 мая 2019, 67252.8
18 апреля 2019, 64655.67
04 апреля 2019, 64366.43
21 марта 2019, 60596.67
07 марта 2019, 66493
21 февраля 2019, 65320.2
